delisted_utc,unit_key,unit_number,building,wing,floorplan,beds,baths,sqft,floor,facing,last_price,initial_price,price_change_while_listed,last_rent_psf,last_available_date,first_seen_utc,last_seen_utc,days_listed,source,url
2026-08-26T04:57:12Z,01-2088,01-2088,East,"inner east wing, garage-adjacent",2 Bedrooms A,2,2,1054,2,South,4534,4589,-55,4.30,2026-08-25,2026-08-17T20:17:10Z,2026-08-26T01:59:33Z,8.2,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-26T19:07:42Z,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5093,5113,-20,4.02,2026-08-28,2026-08-17T20:17:10Z,2026-08-26T13:17:45Z,8.7,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
